iter	Passed	Remaining
0	124	12374
1	234	11513
2	336	10873
3	439	10553
4	563	10697
5	729	11422
6	871	11583
7	998	11487
8	1112	11253
9	1235	11118
10	1355	10964
11	1466	10753
12	1580	10576
13	1697	10424
14	1835	10400
15	1959	10284
16	2097	10238
17	2213	10084
18	2329	9932
19	2444	9779
20	2552	9600
21	2665	9449
22	2772	9282
23	2886	9139
24	2995	8985
25	3100	8823
26	3227	8726
27	3369	8663
28	3496	8559
29	3611	8427
30	3722	8286
31	3826	8130
32	3935	7989
33	4048	7858
34	4161	7727
35	4277	7604
36	4413	7514
37	4535	7399
38	4657	7284
39	4766	7150
40	4874	7013
41	4976	6871
42	5102	6764
43	5200	6618
44	5307	6487
45	5411	6352
46	5516	6220
47	5636	6105
48	5746	5981
49	5863	5863
50	5968	5734
51	6072	5605
52	6170	5472
53	6274	5344
54	6379	5219
55	6490	5099
56	6634	5004
57	6768	4901
58	7091	4928
59	7198	4799
60	7306	4671
61	7409	4541
62	7507	4409
63	7612	4281
64	7716	4155
65	7820	4028
66	7925	3903
67	8025	3776
68	8137	3655
69	8255	3538
70	8399	3430
71	8503	3306
72	8608	3183
73	8714	3061
74	8814	2938
75	8920	2817
76	9025	2695
77	9127	2574
78	9237	2455
79	9357	2339
80	9462	2219
81	9564	2099
82	9664	1979
83	9771	1861
84	9886	1744
85	9991	1626
86	10097	1508
87	10197	1390
88	10296	1272
89	10407	1156
90	10527	1041
91	10643	925
92	10751	809
93	10867	693
94	10978	577
95	11085	461
96	11192	346
97	11378	232
98	11523	116
99	11668	0
