epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.9619847536087036,,,,,
0,99,,0.7226308584213257,,,,,
0,149,,0.8149274587631226,,,,,
0,199,,0.8762548565864563,,,,,
0,201,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8714706897735596
0,201,0.8626048564910889,,,,,,
1,249,,0.8894750475883484,,,,,
1,299,,0.9454525709152222,,,,,
1,349,,0.7959190011024475,,,,,
1,399,,0.8527382612228394,,,,,
1,403,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8707356452941895
1,403,0.8672432899475098,,,,,,
2,449,,0.8558540344238281,,,,,
2,499,,0.9992230534553528,,,,,
2,549,,0.8595827221870422,,,,,
2,599,,0.8363444209098816,,,,,
2,605,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8703619837760925
2,605,0.8606922030448914,,,,,,
3,649,,0.8120629787445068,,,,,
3,699,,0.8751909136772156,,,,,
3,749,,0.85332190990448,,,,,
3,799,,0.7966907620429993,,,,,
3,807,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8702057600021362
3,807,0.8605021238327026,,,,,,
4,849,,0.8200190663337708,,,,,
4,899,,0.8326518535614014,,,,,
4,949,,0.798182487487793,,,,,
4,999,,0.8483025431632996,,,,,
4,1009,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8703475594520569
4,1009,0.8645811676979065,,,,,,
5,1049,,0.8757224678993225,,,,,
5,1099,,0.9016648530960083,,,,,
5,1149,,0.967714786529541,,,,,
5,1199,,0.8429651856422424,,,,,
5,1211,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8699491024017334
5,1211,0.8622415661811829,,,,,,
6,1249,,0.860687255859375,,,,,
6,1299,,0.7767443060874939,,,,,
6,1349,,0.8768838047981262,,,,,
6,1399,,0.7685535550117493,,,,,
6,1413,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8699737191200256
6,1413,0.8719303607940674,,,,,,
7,1449,,0.8190790414810181,,,,,
7,1499,,0.8567260503768921,,,,,
7,1549,,0.8912976980209351,,,,,
7,1599,,0.8647656440734863,,,,,
7,1615,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8701173663139343
7,1615,0.8657164573669434,,,,,,
8,1649,,0.7880659699440002,,,,,
8,1699,,0.8675355911254883,,,,,
8,1749,,0.913724422454834,,,,,
8,1799,,0.8686435222625732,,,,,
8,1817,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8698620200157166
8,1817,0.8590767979621887,,,,,,
9,1849,,0.8336910605430603,,,,,
9,1899,,0.9290734529495239,,,,,
9,1949,,0.8752157092094421,,,,,
9,1999,,0.8652526140213013,,,,,
9,2019,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8698918223381042
9,2019,0.8700959086418152,,,,,,
10,2049,,0.8798390626907349,,,,,
10,2099,,0.8518990874290466,,,,,
10,2149,,0.895792543888092,,,,,
10,2199,,0.8997282981872559,,,,,
10,2221,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8710224628448486
10,2221,0.8612152338027954,,,,,,
11,2249,,0.8268042802810669,,,,,
11,2299,,0.9424440264701843,,,,,
11,2349,,0.8113158345222473,,,,,
11,2399,,0.8063772320747375,,,,,
11,2423,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,0.8702267408370972
11,2423,0.8607681393623352,,,,,,
